6.72, 7.26, 6.68, 20, 0.0795669628001403, BAT SlipP = 0.05, Floor = 1/4
3.73, 4.32, 4.30, 20, 0.005693074485452984, BAT SlipP = 0.05, Floor = 1/4
2.48, 3.64, 3.65, 20, 0.001356293875478245, BAT SlipP = 0.05, Floor = 1/4
3.03, 3.72, 3.76, 20, 0.010795246238099725, BAT SlipP = 0.05, Floor = 1/4
0.38, 0.55, 0.55, 20, 0.0006491859409489435, BAT SlipP = 0.05, Floor = 1/4
1.44, 2.09, 2.07, 20, 0.0075768247109527, BAT SlipP = 0.05, Floor = 1/4
0.37, 0.52, 0.57, 20, 0.10102751088190146, BAT SlipP = 0.05, Floor = 1/4
0.55, 0.72, 0.80, 20, 0.1201472325083338, BAT SlipP = 0.05, Floor = 1/4
1.12, 1.41, 1.66, 20, 0.17528889755212884, BAT SlipP = 0.05, Floor = 1/4
0.90, 1.36, 1.35, 20, 0.006878749986696402, BAT SlipP = 0.05, Floor = 1/4
2.67, 3.48, 3.47, 20, 0.002403112061360091, BAT SlipP = 0.05, Floor = 1/4
2.11, 3.10, 2.13, 20, 0.31415711005131625, BAT SlipP = 0.05, Floor = 1/4
1.92, 2.16, 1.82, 20, 0.15937098477364697, BAT SlipP = 0.05, Floor = 1/4
1.86, 2.45, 1.99, 20, 0.1897624117631982, BAT SlipP = 0.05, Floor = 1/4
3.26, 5.24, 4.28, 20, 0.18428324776456445, BAT SlipP = 0.05, Floor = 1/4
1.15, 1.60, 1.64, 20, 0.03024949789793936, BAT SlipP = 0.05, Floor = 1/4
0.99, 1.59, 1.72, 20, 0.08185828035062999, BAT SlipP = 0.05, Floor = 1/4
3.19, 4.86, 4.00, 20, 0.17663303370007782, BAT SlipP = 0.05, Floor = 1/4
1.28, 1.74, 2.09, 20, 0.20032649349188647, BAT SlipP = 0.05, Floor = 1/4
6.55, 9.14, 9.42, 20, 0.03018255763389811, BAT SlipP = 0.05, Floor = 1/4
0.38, 0.64, 0.71, 20, 0.1142471656138588, BAT SlipP = 0.05, Floor = 1/4
1.74, 2.52, 2.31, 20, 0.08315229112365216, BAT SlipP = 0.05, Floor = 1/4
4.53, 5.69, 5.73, 20, 0.005812733864206957, BAT SlipP = 0.05, Floor = 1/4
1.07, 1.83, 1.90, 20, 0.039397407455128375, BAT SlipP = 0.05, Floor = 1/4
0.65, 0.98, 1.04, 20, 0.05827120526963313, BAT SlipP = 0.05, Floor = 1/4
0.58, 0.69, 0.73, 20, 0.05909624415123596, BAT SlipP = 0.05, Floor = 1/4
5.42, 6.99, 6.27, 20, 0.10369361382215503, BAT SlipP = 0.05, Floor = 1/4
0.60, 0.91, 0.88, 20, 0.0403992667908405, BAT SlipP = 0.05, Floor = 1/4
1.02, 1.34, 1.36, 20, 0.017861757750777467, BAT SlipP = 0.05, Floor = 1/4
2.03, 3.09, 3.82, 20, 0.23506877424813996, BAT SlipP = 0.05, Floor = 1/4
1.08, 1.09, 1.05, 20, 0.03692426822382136, BAT SlipP = 0.05, Floor = 1/4
0.66, 1.06, 0.85, 20, 0.20035241276027868, BAT SlipP = 0.05, Floor = 1/4
7.25, 8.80, 8.87, 20, 0.007852341008554316, BAT SlipP = 0.05, Floor = 1/4
2.35, 3.23, 3.54, 20, 0.09673315251132529, BAT SlipP = 0.05, Floor = 1/4
1.16, 1.69, 1.65, 20, 0.02218698891133191, BAT SlipP = 0.05, Floor = 1/4
2.00, 2.52, 2.36, 20, 0.0664826859645791, BAT SlipP = 0.05, Floor = 1/4
2.11, 3.22, 3.06, 20, 0.047740882415179466, BAT SlipP = 0.05, Floor = 1/4
2.21, 3.02, 2.66, 20, 0.11952475599916812, BAT SlipP = 0.05, Floor = 1/4
1.32, 1.64, 1.54, 20, 0.06251520937223377, BAT SlipP = 0.05, Floor = 1/4
1.24, 1.36, 1.37, 20, 0.0034833363772300272, BAT SlipP = 0.05, Floor = 1/4
1.48, 2.21, 1.75, 20, 0.20852304046321377, BAT SlipP = 0.05, Floor = 1/4
0.62, 0.80, 0.79, 20, 0.018944712701029202, BAT SlipP = 0.05, Floor = 1/4
1.09, 1.51, 1.46, 20, 0.03659082959417929, BAT SlipP = 0.05, Floor = 1/4
4.42, 5.64, 6.65, 20, 0.17863802057692638, BAT SlipP = 0.05, Floor = 1/4
2.31, 3.09, 3.33, 20, 0.07822447912448835, BAT SlipP = 0.05, Floor = 1/4
2.20, 2.92, 2.67, 20, 0.08323004219978578, BAT SlipP = 0.05, Floor = 1/4
1.15, 1.85, 1.70, 20, 0.08283682033689642, BAT SlipP = 0.05, Floor = 1/4
0.71, 1.01, 1.01, 20, 0.001644261588903699, BAT SlipP = 0.05, Floor = 1/4
1.17, 1.78, 1.90, 20, 0.06550226541512995, BAT SlipP = 0.05, Floor = 1/4
6.07, 8.80, 9.16, 20, 0.04152886038820604, BAT SlipP = 0.05, Floor = 1/4
1.84, 2.16, 2.24, 20, 0.038219911258879434, BAT SlipP = 0.05, Floor = 1/4
0.60, 0.82, 0.81, 20, 0.016653181779038562, BAT SlipP = 0.05, Floor = 1/4
0.60, 0.93, 0.87, 20, 0.06622654321518155, BAT SlipP = 0.05, Floor = 1/4
1.09, 1.20, 1.22, 20, 0.011472063617028277, BAT SlipP = 0.05, Floor = 1/4
1.13, 1.54, 1.66, 20, 0.07547726137827053, BAT SlipP = 0.05, Floor = 1/4
1.05, 1.37, 1.31, 20, 0.04394819285698299, BAT SlipP = 0.05, Floor = 1/4
7.09, 8.59, 8.73, 20, 0.016364266306085912, BAT SlipP = 0.05, Floor = 1/4
1.21, 1.62, 1.52, 20, 0.06023614092691271, BAT SlipP = 0.05, Floor = 1/4
5.64, 7.70, 7.06, 20, 0.0831561539575825, BAT SlipP = 0.05, Floor = 1/4
2.84, 4.07, 3.87, 20, 0.047368062333518285, BAT SlipP = 0.05, Floor = 1/4
0.70, 1.09, 0.97, 20, 0.1148802323248866, BAT SlipP = 0.05, Floor = 1/4
3.12, 4.36, 4.24, 20, 0.027860005217488697, BAT SlipP = 0.05, Floor = 1/4
3.19, 3.66, 3.81, 20, 0.03992920617411346, BAT SlipP = 0.05, Floor = 1/4
1.33, 2.09, 1.77, 20, 0.15264068481222684, BAT SlipP = 0.05, Floor = 1/4
0.40, 0.53, 0.59, 20, 0.10606399190385894, BAT SlipP = 0.05, Floor = 1/4
4.84, 5.73, 5.58, 20, 0.025357645567003283, BAT SlipP = 0.05, Floor = 1/4
0.40, 0.57, 0.58, 20, 0.03054938475372222, BAT SlipP = 0.05, Floor = 1/4
5.39, 7.59, 6.84, 20, 0.09837194915411998, BAT SlipP = 0.05, Floor = 1/4
0.45, 0.67, 0.65, 20, 0.03479238274675663, BAT SlipP = 0.05, Floor = 1/4
0.85, 1.05, 1.06, 200, 0.005102418205335629, BAT SlipP = 0.05, Floor = 1/4
1.93, 2.82, 2.92, 200, 0.03378364209703974, BAT SlipP = 0.05, Floor = 1/4
1.50, 1.56, 1.57, 200, 0.006405538402209521, BAT SlipP = 0.05, Floor = 1/4
1.36, 1.64, 1.71, 200, 0.042147970426075515, BAT SlipP = 0.05, Floor = 1/4
3.43, 4.64, 4.67, 200, 0.005531761313008964, BAT SlipP = 0.05, Floor = 1/4
1.05, 1.41, 1.35, 200, 0.04320239848282534, BAT SlipP = 0.05, Floor = 1/4
5.16, 6.45, 6.44, 200, 0.0010239384451735465, BAT SlipP = 0.05, Floor = 1/4
1.95, 2.76, 2.64, 200, 0.044945993181007456, BAT SlipP = 0.05, Floor = 1/4
1.98, 3.15, 3.14, 200, 0.00359737923842557, BAT SlipP = 0.05, Floor = 1/4
1.11, 1.32, 1.33, 200, 0.007964585297015268, BAT SlipP = 0.05, Floor = 1/4
1.12, 1.29, 1.28, 200, 0.009870751615601183, BAT SlipP = 0.05, Floor = 1/4
1.12, 1.69, 1.66, 200, 0.0177734917615492, BAT SlipP = 0.05, Floor = 1/4
1.40, 1.87, 1.93, 200, 0.030606343182564645, BAT SlipP = 0.05, Floor = 1/4
3.65, 5.77, 5.85, 200, 0.01271119964197744, BAT SlipP = 0.05, Floor = 1/4
0.52, 0.54, 0.54, 200, 0.0074346226524904845, BAT SlipP = 0.05, Floor = 1/4
2.91, 3.36, 3.40, 200, 0.013316837319930023, BAT SlipP = 0.05, Floor = 1/4
1.09, 1.41, 1.42, 200, 0.0068920222368458175, BAT SlipP = 0.05, Floor = 1/4
3.72, 4.08, 4.17, 200, 0.022579404185072358, BAT SlipP = 0.05, Floor = 1/4
3.63, 4.96, 5.22, 200, 0.053074155525632466, BAT SlipP = 0.05, Floor = 1/4
1.45, 2.23, 2.24, 200, 0.004082379540200739, BAT SlipP = 0.05, Floor = 1/4
1.36, 1.80, 1.81, 200, 0.0021287633837906708, BAT SlipP = 0.05, Floor = 1/4
3.62, 4.64, 4.53, 200, 0.023177390809363783, BAT SlipP = 0.05, Floor = 1/4
1.22, 1.53, 1.57, 200, 0.028014848658799607, BAT SlipP = 0.05, Floor = 1/4
4.05, 5.54, 5.47, 200, 0.011737498979802684, BAT SlipP = 0.05, Floor = 1/4
2.65, 3.35, 3.40, 200, 0.012611802878834049, BAT SlipP = 0.05, Floor = 1/4
1.29, 1.91, 1.91, 200, 0.00010953471778744005, BAT SlipP = 0.05, Floor = 1/4
1.94, 3.23, 3.22, 200, 0.001944773176759668, BAT SlipP = 0.05, Floor = 1/4
0.90, 1.26, 1.29, 200, 0.02415604193417942, BAT SlipP = 0.05, Floor = 1/4
3.17, 5.24, 5.07, 200, 0.031976131124888625, BAT SlipP = 0.05, Floor = 1/4
0.60, 0.71, 0.72, 200, 0.022472581770748755, BAT SlipP = 0.05, Floor = 1/4
0.46, 0.61, 0.61, 200, 0.007695289823028514, BAT SlipP = 0.05, Floor = 1/4
0.99, 1.41, 1.35, 200, 0.04054371987605312, BAT SlipP = 0.05, Floor = 1/4
1.58, 2.62, 2.65, 200, 0.011382309805492973, BAT SlipP = 0.05, Floor = 1/4
0.94, 1.30, 1.33, 200, 0.02442906285995193, BAT SlipP = 0.05, Floor = 1/4
1.00, 1.63, 1.75, 200, 0.06941557447948207, BAT SlipP = 0.05, Floor = 1/4
1.09, 1.50, 1.55, 200, 0.03149723972332923, BAT SlipP = 0.05, Floor = 1/4
2.90, 4.27, 4.21, 200, 0.014710637896041184, BAT SlipP = 0.05, Floor = 1/4
7.41, 8.51, 8.61, 200, 0.01116718168670708, BAT SlipP = 0.05, Floor = 1/4
4.89, 6.30, 6.24, 200, 0.00973658220506698, BAT SlipP = 0.05, Floor = 1/4
1.95, 2.51, 2.49, 200, 0.006595661696175181, BAT SlipP = 0.05, Floor = 1/4
2.56, 2.79, 2.75, 200, 0.01120751120431636, BAT SlipP = 0.05, Floor = 1/4
0.88, 1.24, 1.22, 200, 0.014128279125531452, BAT SlipP = 0.05, Floor = 1/4
2.81, 4.35, 4.23, 200, 0.02940811833340811, BAT SlipP = 0.05, Floor = 1/4
1.53, 2.38, 2.26, 200, 0.050960698089077834, BAT SlipP = 0.05, Floor = 1/4
0.67, 0.89, 0.88, 200, 0.010634522158264043, BAT SlipP = 0.05, Floor = 1/4
1.56, 2.54, 2.51, 200, 0.011194488506308924, BAT SlipP = 0.05, Floor = 1/4
3.23, 4.94, 4.83, 200, 0.022380291003327175, BAT SlipP = 0.05, Floor = 1/4
0.97, 1.53, 1.53, 200, 0.0003543753254924587, BAT SlipP = 0.05, Floor = 1/4
0.93, 1.32, 1.30, 200, 0.0155783085648891, BAT SlipP = 0.05, Floor = 1/4
4.48, 5.32, 5.20, 200, 0.02279635720723689, BAT SlipP = 0.05, Floor = 1/4
1.43, 2.23, 2.30, 200, 0.03174676372621197, BAT SlipP = 0.05, Floor = 1/4
4.01, 7.12, 6.75, 200, 0.052864892998624055, BAT SlipP = 0.05, Floor = 1/4
2.93, 3.50, 3.49, 200, 0.002517910934741085, BAT SlipP = 0.05, Floor = 1/4
0.96, 1.34, 1.27, 200, 0.046296094244294726, BAT SlipP = 0.05, Floor = 1/4
0.91, 1.27, 1.24, 200, 0.025214239350975966, BAT SlipP = 0.05, Floor = 1/4
4.10, 6.00, 5.98, 200, 0.0022362582406506718, BAT SlipP = 0.05, Floor = 1/4
1.53, 2.27, 2.22, 200, 0.02069024659965579, BAT SlipP = 0.05, Floor = 1/4
1.03, 1.33, 1.31, 200, 0.021367339636555054, BAT SlipP = 0.05, Floor = 1/4
0.90, 1.15, 1.17, 200, 0.018144511100625874, BAT SlipP = 0.05, Floor = 1/4
2.81, 3.33, 3.30, 200, 0.009984630554830969, BAT SlipP = 0.05, Floor = 1/4
1.39, 1.79, 1.77, 200, 0.0110022824281696, BAT SlipP = 0.05, Floor = 1/4
1.54, 2.18, 2.20, 200, 0.006445732689589943, BAT SlipP = 0.05, Floor = 1/4
4.67, 6.62, 6.41, 200, 0.0320268293567084, BAT SlipP = 0.05, Floor = 1/4
6.15, 7.87, 8.00, 200, 0.01685561082162134, BAT SlipP = 0.05, Floor = 1/4
2.50, 3.00, 3.06, 200, 0.02053142876969307, BAT SlipP = 0.05, Floor = 1/4
0.74, 1.13, 1.06, 200, 0.06285528009728138, BAT SlipP = 0.05, Floor = 1/4
5.23, 5.63, 5.61, 200, 0.003925136888471122, BAT SlipP = 0.05, Floor = 1/4
0.55, 0.84, 0.82, 200, 0.021632073186667513, BAT SlipP = 0.05, Floor = 1/4
1.88, 2.68, 2.69, 200, 0.0011113063576102522, BAT SlipP = 0.05, Floor = 1/4
1.72, 2.18, 2.22, 200, 0.01676659743431842, BAT SlipP = 0.05, Floor = 1/4
1.33, 1.91, 1.95, 200, 0.02112591065480894, BAT SlipP = 0.05, Floor = 1/4
0.92, 0.99, 0.99, 200, 0.0012735511913700111, BAT SlipP = 0.05, Floor = 1/4
2.03, 2.09, 2.08, 200, 0.006884993111857696, BAT SlipP = 0.05, Floor = 1/4
4.55, 4.84, 4.91, 200, 0.014833219986926346, BAT SlipP = 0.05, Floor = 1/4
0.66, 0.93, 0.91, 200, 0.023797027662690214, BAT SlipP = 0.05, Floor = 1/4
3.83, 5.95, 5.78, 200, 0.029073379933443444, BAT SlipP = 0.05, Floor = 1/4
2.66, 2.93, 2.94, 200, 0.0033691151106129357, BAT SlipP = 0.05, Floor = 1/4
1.49, 2.14, 2.05, 200, 0.0421351763200402, BAT SlipP = 0.05, Floor = 1/4
0.49, 0.61, 0.62, 200, 0.02232096748456187, BAT SlipP = 0.05, Floor = 1/4
4.02, 5.75, 5.73, 200, 0.0035872911806042814, BAT SlipP = 0.05, Floor = 1/4
1.76, 2.22, 2.29, 200, 0.028830327172102443, BAT SlipP = 0.05, Floor = 1/4
3.95, 6.21, 6.07, 200, 0.023365741416809523, BAT SlipP = 0.05, Floor = 1/4
4.45, 5.53, 5.56, 200, 0.0044242820882784105, BAT SlipP = 0.05, Floor = 1/4
1.56, 2.05, 2.03, 200, 0.010837509886631434, BAT SlipP = 0.05, Floor = 1/4
1.06, 1.31, 1.33, 200, 0.01781834219724161, BAT SlipP = 0.05, Floor = 1/4
2.05, 3.07, 3.14, 200, 0.024145515129560192, BAT SlipP = 0.05, Floor = 1/4
0.64, 0.95, 0.89, 200, 0.06313864607861155, BAT SlipP = 0.05, Floor = 1/4
0.85, 1.23, 1.19, 200, 0.033925133379289055, BAT SlipP = 0.05, Floor = 1/4
2.02, 2.42, 2.41, 200, 0.002769256172899193, BAT SlipP = 0.05, Floor = 1/4
5.79, 9.25, 8.81, 200, 0.047686145868634164, BAT SlipP = 0.05, Floor = 1/4
0.53, 0.81, 0.80, 200, 0.02271089318212632, BAT SlipP = 0.05, Floor = 1/4
1.02, 1.42, 1.36, 200, 0.039400698414262914, BAT SlipP = 0.05, Floor = 1/4
5.02, 6.97, 7.03, 200, 0.008789159105879463, BAT SlipP = 0.05, Floor = 1/4
